red_file,blue_file,score_red,score_blue,score,weight,points_red,points_blue,steps,ammo_red,ammo_blue
domination/agent.py,agents/Django.py,0,100,0.0,0.36363636363636365,0,0.7272727272727273,39,4,1
domination/agent.py,agents/Django.py,0,100,0.0,0.3838383838383838,0,0.7676767676767676,227,18,8
domination/agent.py,agents/Django.py,0,100,0.0,0.40404040404040403,0,0.8080808080808081,57,6,0
domination/agent.py,agents/Django.py,100,0,1.0,0.42424242424242425,0.8484848484848485,0,52,4,4
domination/agent.py,agents/Django.py,0,100,0.0,0.4444444444444444,0,0.8888888888888888,85,7,4
domination/agent.py,agents/Django.py,0,100,0.0,0.46464646464646464,0,0.9292929292929293,39,4,1
domination/agent.py,agents/Django.py,0,100,0.0,0.48484848484848486,0,0.9696969696969697,64,5,3
domination/agent.py,agents/Django.py,0,100,0.0,0.5050505050505051,0,1.0101010101010102,47,3,4
domination/agent.py,agents/Django.py,0,100,0.0,0.5252525252525253,0,1.0505050505050506,70,5,5
domination/agent.py,agents/Django.py,0,100,0.0,0.5454545454545454,0,1.0909090909090908,43,1,4
domination/agent.py,agents/Django.py,0,100,0.0,0.5656565656565656,0,1.1313131313131313,93,6,5
domination/agent.py,agents/Django.py,0,100,0.0,0.5858585858585859,0,1.1717171717171717,38,2,1
domination/agent.py,agents/Django.py,0,100,0.0,0.6060606060606061,0,1.2121212121212122,50,4,5
domination/agent.py,agents/Django.py,0,100,0.0,0.6262626262626263,0,1.2525252525252526,107,7,4
domination/agent.py,agents/Django.py,0,100,0.0,0.6464646464646465,0,1.292929292929293,205,17,11
domination/agent.py,agents/Django.py,0,100,0.0,0.6666666666666666,0,1.3333333333333333,45,4,1
domination/agent.py,agents/Django.py,0,100,0.0,0.6868686868686869,0,1.3737373737373737,100,9,5
domination/agent.py,agents/Django.py,0,100,0.0,0.7070707070707071,0,1.4141414141414141,66,4,4
domination/agent.py,agents/Django.py,0,100,0.0,0.7272727272727273,0,1.4545454545454546,33,4,0
domination/agent.py,agents/Django.py,0,100,0.0,0.7474747474747475,0,1.494949494949495,55,5,2
domination/agent.py,agents/Django.py,0,100,0.0,0.7676767676767676,0,1.5353535353535352,75,2,8
domination/agent.py,agents/Django.py,0,100,0.0,0.7878787878787878,0,1.5757575757575757,61,5,4
domination/agent.py,agents/Django.py,0,100,0.0,0.8080808080808081,0,1.6161616161616161,129,11,6
domination/agent.py,agents/Django.py,0,100,0.0,0.8282828282828283,0,1.6565656565656566,63,5,3
domination/agent.py,agents/Django.py,0,100,0.0,0.8484848484848485,0,1.696969696969697,66,7,3
domination/agent.py,agents/Django.py,0,100,0.0,0.8686868686868687,0,1.7373737373737375,56,5,5
domination/agent.py,agents/Django.py,0,100,0.0,0.8888888888888888,0,1.7777777777777777,128,12,5
domination/agent.py,agents/Django.py,0,100,0.0,0.9090909090909091,0,1.8181818181818181,37,2,2
domination/agent.py,agents/Django.py,0,100,0.0,0.9292929292929293,0,1.8585858585858586,53,4,4
domination/agent.py,agents/Django.py,0,100,0.0,0.9494949494949495,0,1.898989898989899,32,4,0
domination/agent.py,agents/Django.py,0,100,0.0,0.9696969696969697,0,1.9393939393939394,120,9,7
domination/agent.py,agents/Django.py,0,100,0.0,0.98989898989899,0,1.97979797979798,45,4,2
domination/agent.py,agents/Django.py,0,100,0.0,1.0101010101010102,0,2.0202020202020203,168,12,9
domination/agent.py,agents/Django.py,0,100,0.0,1.0303030303030303,0,2.0606060606060606,48,4,2
domination/agent.py,agents/Django.py,0,100,0.0,1.0505050505050506,0,2.101010101010101,59,5,1
domination/agent.py,agents/Django.py,0,100,0.0,1.0707070707070707,0,2.1414141414141414,40,4,1
domination/agent.py,agents/Django.py,0,100,0.0,1.0909090909090908,0,2.1818181818181817,84,5,6
domination/agent.py,agents/Django.py,0,100,0.0,1.1111111111111112,0,2.2222222222222223,79,6,5
domination/agent.py,agents/Django.py,0,100,0.0,1.1313131313131313,0,2.2626262626262625,44,4,1
domination/agent.py,agents/Django.py,0,100,0.0,1.1515151515151516,0,2.303030303030303,73,4,4
domination/agent.py,agents/Django.py,0,100,0.0,1.1717171717171717,0,2.3434343434343434,135,10,5
domination/agent.py,agents/Django.py,0,100,0.0,1.1919191919191918,0,2.3838383838383836,136,11,7
domination/agent.py,agents/Django.py,0,100,0.0,1.2121212121212122,0,2.4242424242424243,133,10,8
domination/agent.py,agents/Django.py,0,100,0.0,1.2323232323232323,0,2.4646464646464645,221,16,12
domination/agent.py,agents/Django.py,0,100,0.0,1.2525252525252526,0,2.505050505050505,58,3,3
domination/agent.py,agents/Django.py,0,100,0.0,1.2727272727272727,0,2.5454545454545454,35,2,3
domination/agent.py,agents/Django.py,0,100,0.0,1.292929292929293,0,2.585858585858586,47,2,3
domination/agent.py,agents/Django.py,0,100,0.0,1.3131313131313131,0,2.6262626262626263,68,8,2
domination/agent.py,agents/Django.py,0,100,0.0,1.3333333333333333,0,2.6666666666666665,40,2,2
domination/agent.py,agents/Django.py,0,100,0.0,1.3535353535353536,0,2.707070707070707,85,6,4
domination/agent.py,agents/Django.py,0,100,0.0,1.3737373737373737,0,2.7474747474747474,122,9,8
domination/agent.py,agents/Django.py,0,100,0.0,1.393939393939394,0,2.787878787878788,84,7,3
domination/agent.py,agents/Django.py,0,100,0.0,1.4141414141414141,0,2.8282828282828283,48,5,3
domination/agent.py,agents/Django.py,0,100,0.0,1.4343434343434343,0,2.8686868686868685,109,7,7
domination/agent.py,agents/Django.py,0,100,0.0,1.4545454545454546,0,2.909090909090909,146,15,6
domination/agent.py,agents/Django.py,0,100,0.0,1.4747474747474747,0,2.9494949494949494,124,9,6
domination/agent.py,agents/Django.py,0,100,0.0,1.494949494949495,0,2.98989898989899,56,4,3
domination/agent.py,agents/Django.py,0,100,0.0,1.5151515151515151,0,3.0303030303030303,55,4,5
domination/agent.py,agents/Django.py,0,100,0.0,1.5353535353535352,0,3.0707070707070705,186,14,8
domination/agent.py,agents/Django.py,0,100,0.0,1.5555555555555556,0,3.111111111111111,40,3,3
domination/agent.py,agents/Django.py,0,100,0.0,1.5757575757575757,0,3.1515151515151514,34,2,2
domination/agent.py,agents/Django.py,0,100,0.0,1.595959595959596,0,3.191919191919192,54,3,3
domination/agent.py,agents/Django.py,0,100,0.0,1.6161616161616161,0,3.2323232323232323,74,4,3
domination/agent.py,agents/Django.py,0,100,0.0,1.6363636363636365,0,3.272727272727273,38,1,3
domination/agent.py,agents/Django.py,0,100,0.0,1.6565656565656566,0,3.313131313131313,58,6,3
domination/agent.py,agents/Django.py,0,100,0.0,1.6767676767676767,0,3.3535353535353534,73,5,4
domination/agent.py,agents/Django.py,0,100,0.0,1.696969696969697,0,3.393939393939394,183,14,9
domination/agent.py,agents/Django.py,0,100,0.0,1.7171717171717171,0,3.4343434343434343,97,8,5
domination/agent.py,agents/Django.py,0,100,0.0,1.7373737373737375,0,3.474747474747475,54,5,3
domination/agent.py,agents/Django.py,0,100,0.0,1.7575757575757576,0,3.515151515151515,62,3,6
domination/agent.py,agents/Django.py,0,100,0.0,1.7777777777777777,0,3.5555555555555554,80,7,3
domination/agent.py,agents/Django.py,0,100,0.0,1.797979797979798,0,3.595959595959596,38,3,1
domination/agent.py,agents/Django.py,0,100,0.0,1.8181818181818181,0,3.6363636363636362,81,5,3
domination/agent.py,agents/Django.py,0,100,0.0,1.8383838383838385,0,3.676767676767677,54,3,4
domination/agent.py,agents/Django.py,0,100,0.0,1.8585858585858586,0,3.717171717171717,72,5,3
domination/agent.py,agents/Django.py,0,100,0.0,1.878787878787879,0,3.757575757575758,45,6,1
domination/agent.py,agents/Django.py,0,100,0.0,1.898989898989899,0,3.797979797979798,261,17,17
domination/agent.py,agents/Django.py,0,100,0.0,1.9191919191919191,0,3.8383838383838382,35,5,1
domination/agent.py,agents/Django.py,0,100,0.0,1.9393939393939394,0,3.878787878787879,35,4,1
domination/agent.py,agents/Django.py,0,100,0.0,1.9595959595959596,0,3.919191919191919,242,14,22
domination/agent.py,agents/Django.py,0,100,0.0,1.97979797979798,0,3.95959595959596,90,9,4
domination/agent.py,agents/Django.py,0,100,0.0,2.0,0,4.0,53,5,1
